Symbol,Series,Security Name,Band,Remarks
21STCENMGM,EQ,21ST CENTURY MANAGEMENT SERVICES LIMITED,2,"-"
3IINFOTECH,BE,3I INFOTECH LIMITED,5,"-"
3PLAND,BE,3P LAND HOLDINGS LIMITED,5,"-"
3RDROCK,IT,3RD ROCK MULTIMEDIA LIMITED,5,"-"
63MOONS,EQ,63 MOONS TECHNOLOGIES LIMITED,5,"-"
A2ZINFRA,EQ,A2Z INFRA ENGINEERING LIMITED,5,"-"
AARON,EQ,AARON INDUSTRIES LIMITED,5,"-"
AARVEEDEN,EQ,AARVEE DENIMS & EXPORTS LIMITED,5,"-"
ABINFRA,SM,A B INFRABUILD LIMITED,5,"-"
ACCORD,SM,ACCORD SYNERGY LIMITED,5,"-"
ACEINTEG,SM,ACE INTEGRATED SOLUTIONS LIMITED,5,"-"
ADANIGREEN,BE,ADANI GREEN ENERGY LIMITED,5,"-"
ADANIPOWER,BE,ADANI POWER LIMITED,5,"-"
ADANITRANS,BE,ADANI TRANSMISSION LIMITED,5,"-"
ADL,BE,ARCHIDPLY DECOR LIMITED,5,"-"
ADROITINFO,EQ,ADROIT INFOTECH LIMITED,5,"GSM Stage - I"
AFFLE,BE,AFFLE (INDIA) LIMITED,5,"-"
AGARIND,EQ,AGARWAL INDUSTRIAL CORPORATION LIMITED,5,"-"
AGCNET,BE,AGC NETWORKS LIMITED,5,"-"
AGRITECH,EQ,AGRI-TECH (INDIA) LIMITED,5,"-"
AHLADA,EQ,AHLADA ENGINEERS LIMITED,5,"-"
AILIMITED,SM,ABHISHEK INTEGRATIONS LIMITED,5,"-"
AIRAN,BE,AIRAN LIMITED,5,"-"
AJMERA,BE,AJMERA REALTY & INFRA INDIA LIMITED,5,"-"
AJRINFRA,BE,GAMMON INFRASTRUCTURE PROJECTS LIMITED,5,"-"
AKSHOPTFBR,BE,AKSH OPTIFIBRE LIMITED,5,"-"
ALMONDZ,EQ,ALMONDZ GLOBAL SECURITIES LIMITED,5,"-"
ALPSINDUS,BE,ALPS INDUSTRIES LIMITED,5,"-"
AMBANIORG,SM,AMBANI ORGANICS LIMITED,5,"-"
AMDIND,EQ,AMD INDUSTRIES LIMITED,5,"-"
AMJUMBO,SM,A AND M JUMBO BAGS LIMITED,5,"-"
ANANTRAJ,BE,ANANT RAJ LIMITED,5,"-"
ANDHRACEMT,BE,ANDHRA CEMENTS LIMITED,5,"-"
ANIKINDS,EQ,ANIK INDUSTRIES LIMITED,5,"-"
ANKITMETAL,BE,ANKIT METAL & POWER LIMITED,5,"GSM Stage - II"
ANSALHSG,EQ,ANSAL HOUSING LIMITED,5,"-"
ARCHIDPLY,BE,ARCHIDPLY INDUSTRIES LIMITED,5,"-"
ARCHIES,BE,ARCHIES LIMITED,5,"-"
ARENTERP,EQ,RAJDARSHAN INDUSTRIES LIMITED,5,"-"
ARTEMISMED,EQ,ARTEMIS MEDICARE SERVICES LIMITED,5,"-"
ARTNIRMAN,SM,ART NIRMAN LIMITED,5,"-"
ARVEE,BE,ARVEE LABORATORIES (INDIA) LIMITED,5,"-"
ASAL,BE,AUTOMOTIVE STAMPINGS AND ASSEMBLIES LIMITED,5,"-"
ASHAPURMIN,BE,ASHAPURA MINECHEM LIMITED,5,"-"
ASLIND,SM,ASL INDUSTRIES LIMITED,5,"-"
ATALREAL,SM,ATAL REALTECH LIMITED,5,"-"
