Symbol,Series,Security Name,Band,Remarks
21STCENMGM,EQ,21ST CENTURY MANAGEMENT SERVICES LIMITED,2,"-"
3IINFOLTD,EQ,3I INFOTECH LIMITED,5,"-"
3RDROCK,IT,3RD ROCK MULTIMEDIA LIMITED,5,"-"
63MOONS,EQ,63 MOONS TECHNOLOGIES LIMITED,5,"-"
A2ZINFRA,EQ,A2Z INFRA ENGINEERING LIMITED,5,"-"
AARVEEDEN,EQ,AARVEE DENIMS & EXPORTS LIMITED,5,"-"
AARVI,EQ,AARVI ENCON LIMITED,5,"-"
ABAN,EQ,ABAN OFFSHORE LIMITED,5,"-"
ABINFRA,SM,A B INFRABUILD LIMITED,5,"-"
ACCORD,SM,ACCORD SYNERGY LIMITED,5,"-"
ACEINTEG,SM,ACE INTEGRATED SOLUTIONS LIMITED,5,"-"
ADANITRANS,BE,ADANI TRANSMISSION LIMITED,5,"-"
ADL,BE,ARCHIDPLY DECOR LIMITED,5,"-"
ADROITINFO,BE,ADROIT INFOTECH LIMITED,5,"GSM Stage - II"
AGRITECH,EQ,AGRI-TECH (INDIA) LIMITED,5,"-"
AGROPHOS,EQ,AGRO PHOS INDIA LIMITED,5,"-"
AILIMITED,SM,ABHISHEK INTEGRATIONS LIMITED,5,"-"
AISL,SM,ANI INTEGRATED SERVICES LIMITED,5,"-"
AJRINFRA,BE,AJR INFRA AND TOLLING LIMITED,5,"-"
AKASH,BE,AKASH INFRA PROJECTS LIMITED,5,"-"
AKSHOPTFBR,EQ,AKSH OPTIFIBRE LIMITED,5,"-"
AMBANIORG,SM,AMBANI ORGANICS LIMITED,5,"-"
AMJUMBO,SM,A AND M JUMBO BAGS LIMITED,5,"-"
ANANTRAJ,EQ,ANANT RAJ LIMITED,5,"-"
ANDHRACEMT,EQ,ANDHRA CEMENTS LIMITED,5,"-"
ANIKINDS,EQ,ANIK INDUSTRIES LIMITED,5,"-"
ANKITMETAL,BE,ANKIT METAL & POWER LIMITED,5,"-"
ANSALAPI,EQ,ANSAL PROPERTIES & INFRASTRUCTURE LIMITED,5,"-"
ANSALHSG,BE,ANSAL HOUSING LIMITED,5,"-"
ANTGRAPHIC,BE,ANTARCTICA LIMITED,5,"-"
ARENTERP,BE,RAJDARSHAN INDUSTRIES LIMITED,5,"-"
ARIHANT,EQ,ARIHANT FOUNDATIONS & HOUSING LIMITED,5,"-"
ARROWGREEN,EQ,ARROW GREENTECH LIMITED,5,"-"
ARSHIYA,EQ,ARSHIYA LIMITED,5,"-"
ARTEMISMED,EQ,ARTEMIS MEDICARE SERVICES LIMITED,5,"-"
ARTNIRMAN,BE,ART NIRMAN LIMITED,5,"-"
ARVSMART,EQ,ARVIND SMARTSPACES LIMITED,5,"-"
ASAL,EQ,AUTOMOTIVE STAMPINGS AND ASSEMBLIES LIMITED,5,"-"
ASCOM,SM,ASCOM LEASING & INVESTMENTS LIMITED,5,"-"
ASLIND,SM,ASL INDUSTRIES LIMITED,5,"-"
ATGL,BE,ADANI TOTAL GAS LIMITED,5,"-"
