Symbol,Series,Security Name,Band,Remarks
21STCENMGM,EQ,21ST CENTURY MANAGEMENT SERVICES LIMITED,2,"-"
4THDIM,BE,FOURTH DIMENSION SOLUTIONS LIMITED,2,"-"
AKSHAR,BE,AKSHAR SPINTEX LIMITED,2,"-"
RAJRILTD,BE,RAJ RAYON INDUSTRIES LIMITED,2,"-"
SINTEX,BE,SINTEX INDUSTRIES LIMITED,2,"-"
3RDROCK,IT,3RD ROCK MULTIMEDIA LIMITED,5,"-"
AAKASH,EQ,AAKASH EXPLORATION SERVICES LIMITED,5,"-"
AARON,EQ,AARON INDUSTRIES LIMITED,5,"-"
ABINFRA,SM,A B INFRABUILD LIMITED,5,"-"
ABMINTLLTD,BE,ABM INTERNATIONAL LIMITED,5,"-"
ACCORD,SM,ACCORD SYNERGY LIMITED,5,"-"
ADANIPOWER,EQ,ADANI POWER LIMITED,5,"-"
ADL,BE,ARCHIDPLY DECOR LIMITED,5,"-"
ADROITINFO,EQ,ADROIT INFOTECH LIMITED,5,"-"
AGNI,SM,AGNI GREEN POWER LIMITED,5,"-"
AGROPHOS,EQ,AGRO PHOS INDIA LIMITED,5,"-"
AHLADA,EQ,AHLADA ENGINEERS LIMITED,5,"-"
AHLEAST,EQ,ASIAN HOTELS (EAST) LIMITED,5,"-"
AILIMITED,SM,ABHISHEK INTEGRATIONS LIMITED,5,"-"
AISL,SM,ANI INTEGRATED SERVICES LIMITED,5,"-"
AJRINFRA,EQ,AJR INFRA AND TOLLING LIMITED,5,"-"
AKG,EQ,AKG EXIM LIMITED,5,"-"
ALOKINDS,BE,ALOK INDUSTRIES LIMITED,5,"-"
ALPSINDUS,EQ,ALPS INDUSTRIES LIMITED,5,"GSM Stage - 0"
AMBANIORG,SM,AMBANI ORGANICS LIMITED,5,"-"
AMBICAAGAR,EQ,AMBICA AGARBATHIES & AROMA INDUSTRIES LIMITED,5,"-"
AMDIND,EQ,AMD INDUSTRIES LIMITED,5,"-"
AMJUMBO,SM,A AND M JUMBO BAGS LIMITED,5,"-"
ANDHRACEMT,BE,ANDHRA CEMENTS LIMITED,5,"-"
APOLLO,EQ,APOLLO MICRO SYSTEMS LIMITED,5,"-"
APOLSINHOT,EQ,APOLLO SINDOORI HOTELS LIMITED,5,"-"
ARENTERP,EQ,RAJDARSHAN INDUSTRIES LIMITED,5,"-"
ARIHANTACA,ST,ARIHANT ACADEMY LIMITED,5,"-"
ARROWGREEN,EQ,ARROW GREENTECH LIMITED,5,"-"
ARSHIYA,EQ,ARSHIYA LIMITED,5,"-"
ARSSINFRA,BE,ARSS INFRASTRUCTURE PROJECTS LIMITED,5,"-"
ARTNIRMAN,EQ,ART NIRMAN LIMITED,5,"-"
ARVEE,BE,ARVEE LABORATORIES (INDIA) LIMITED,5,"-"
ASCOM,SM,ASCOM LEASING & INVESTMENTS LIMITED,5,"-"
ASLIND,SM,ASL INDUSTRIES LIMITED,5,"-"
ATLANTA,EQ,ATLANTA  LIMITED,5,"GSM STAGE - 0"
AURDIS,SM,AURANGABAD DISTILLERY LIMITED,5,"-"
AURUM,EQ,AURUM PROPTECH LIMITED,5,"-"
AURUMPP,X1,AURUM PROPTECH LIMITED,5,"-"
AVSL,SM,AVSL INDUSTRIES LIMITED,5,"-"
AWL,EQ,ADANI WILMAR LIMITED,5,"-"
AXISCADES,EQ,AXISCADES TECHNOLOGIES LIMITED,5,"-"
BAFNAPH,BE,BAFNA PHARMACEUTICALS LIMITED,5,"-"
BAGFILMS,EQ,B.A.G FILMS AND MEDIA LIMITED,5,"-"
BAJAJHIND,EQ,BAJAJ HINDUSTHAN SUGAR LIMITED,5,"-"
BALAXI,EQ,BALAXI PHARMACEUTICALS LIMITED,5,"-"
BALKRISHNA,BE,BALKRISHNA PAPER MILLS LIMITED,5,"-"
BALLARPUR,BZ,BALLARPUR INDUSTRIES LIMITED,5,"GSM STAGE - 0"
BCONCEPTS,BE,BRAND CONCEPTS LIMITED,5,"-"
BDR,IT,BDR BUILDCON LIMITED,5,"-"
BIGBLOC,EQ,BIGBLOC CONSTRUCTION LIMITED,5,"-"
BIKAJI,EQ,BIKAJI FOODS INTERNATIONAL LIMITED,5,"-"
BKMINDST,BZ,BKM INDUSTRIES LIMITED,5,"GSM Stage - 0"
BMETRICS,SM,BOMBAY METRICS SUPPLY CHAIN LIMITED,5,"-"
BOHRAIND,BE,BOHRA INDUSTRIES LIMITED,5,"-"
BRIGHT,SM,BRIGHT SOLAR LIMITED,5,"-"
BROOKS,EQ,BROOKS LABORATORIES LIMITED,5,"-"
BSHSL,BE,BOMBAY SUPER HYBRID SEEDS LIMITED,5,"-"
BSL,BE,BSL LIMITED,5,"-"
BTML,SM,BODHI TREE MULTIMEDIA LIMITED,5,"-"
BVCL,EQ,BARAK VALLEY CEMENTS LIMITED,5,"-"
CADSYS,SM,CADSYS (INDIA) LIMITED,5,"-"
CCCL,BE,CONSOLIDATED CONSTRUCTION CONSORTIUM LIMITED,5,"-"
CCHHL,EQ,COUNTRY CLUB HOSPITALITY & HOLIDAYS LIMITED,5,"-"
CENTEXT,EQ,CENTURY EXTRUSIONS LIMITED,5,"-"
CENTRALBK,EQ,CENTRAL BANK OF INDIA,5,"-"
CEREBRAINT,EQ,CEREBRA INTEGRATED TECHNOLOGIES LIMITED,5,"-"
CHEMFAB,EQ,CHEMFAB ALKALIS LIMITED,5,"-"
CLOUD,SM,VARANIUM CLOUD LIMITED,5,"-"
CMMIPL,SM,CMM INFRAPROJECTS LIMITED,5,"-"
CONTI,SM,CONTINENTAL SEEDS AND CHEMICALS LIMITED,5,"-"
COUNCODOS,BE,COUNTRY CONDO'S LIMITED,5,"-"
CROWN,BE,CROWN LIFTERS LIMITED,5,"-"
CUBEXTUB,EQ,CUBEX TUBINGS LIMITED,5,"-"
DBREALTY,EQ,D B REALTY LIMITED,5,"-"
DCI,BE,DC INFOTECH AND COMMUNICATION LIMITED,5,"-"
DCM,EQ,DCM  LIMITED,5,"-"
DCMFINSERV,EQ,DCM FINANCIAL SERVICES LIMITED,5,"GSM STAGE - 0"
DEEPENR,EQ,DEEP ENERGY RESOURCES LIMITED,5,"-"
DESTINY,SM,DESTINY LOGISTICS & INFRA LIMITED,5,"-"
DHANBANK,EQ,DHANLAXMI BANK LIMITED,5,"-"
DHARSUGAR,BZ,DHARANI SUGARS & CHEMICALS LIMITED,5,"-"
DIGJAMLMTD,BE,DIGJAM LIMITED,5,"-"
DJML,EQ,DJ MEDIAPRINT & LOGISTICS LIMITED,5,"-"
DNAMEDIA,EQ,DILIGENT MEDIA CORPORATION LIMITED,5,"-"
DOLLEX,ST,DOLLEX AGROTECH LIMITED,5,"-"
DRL,SM,DHANUKA REALTY LIMITED,5,"-"
DUGLOBAL,SM,DUDIGITAL GLOBAL LIMITED,5,"-"
DYNAMIC,SM,DYNAMIC SERVICES & SECURITY LIMITED,5,"-"
E2E,EQ,E2E NETWORKS LIMITED,5,"-"
EASTSILK,BE,EASTERN SILK INDUSTRIES LIMITED,5,"-"
EDUCOMP,BZ,EDUCOMP SOLUTIONS LIMITED,5,"GSM STAGE - 0"
EMKAYTOOLS,SM,EMKAY TAPS AND CUTTING TOOLS LIMITED,5,"-"
EQUIPPP,BE,EQUIPPP SOCIAL IMPACT TECHNOLOGIES LIMITED,5,"GSM STAGE - 0"
EROSMEDIA,EQ,EROS INTERNATIONAL MEDIA LIMITED,5,"-"
ESSENTIA,BE,INTEGRA ESSENTIA LIMITED,5,"-"
EXCEL,BE,EXCEL REALTY N INFRA LIMITED,5,"-"
FACT,EQ,FERTILIZERS AND CHEMICALS TRAVANCORE LIMITED,5,"-"
FCONSUMER,EQ,FUTURE CONSUMER LIMITED,5,"-"
FEL,EQ,FUTURE ENTERPRISES LIMITED,5,"-"
FELDVR,EQ,FUTURE ENTERPRISES LIMITED,5,"-"
FELIX,SM,FELIX INDUSTRIES LIMITED,5,"-"
FLEXITUFF,BE,FLEXITUFF VENTURES INTERNATIONAL LIMITED,5,"-"
FLFL,BE,FUTURE LIFESTYLE FASHIONS LIMITED,5,"-"
FMNL,EQ,FUTURE MARKET NETWORKS LIMITED,5,"-"
FOCUS,EQ,FOCUS LIGHTING AND FIXTURES LIMITED,5,"-"
FOODSIN,BE,FOODS & INNS LIMITED,5,"-"
FRETAIL,BZ,FUTURE RETAIL LIMITED,5,"-"
FSC,BE,FUTURE SUPPLY CHAIN SOLUTIONS LIMITED,5,"-"
GAL,BE,GYSCOAL ALLOYS LIMITED,5,"GSM STAGE - I"
GAYAHWS,EQ,GAYATRI HIGHWAYS LIMITED,5,"GSM Stage - 0"
GAYAPROJ,BE,GAYATRI PROJECTS LIMITED,5,"-"
GICL,SM,GLOBE INTERNATIONAL CARRIERS LIMITED,5,"-"
GIRIRAJ,SM,GIRIRAJ CIVIL DEVELOPERS LIMITED,5,"-"
GIRRESORTS,IT,GIR NATUREVIEW RESORTS LIMITED,5,"-"
GLFL,EQ,GUJARAT LEASE FINANCING LIMITED,5,"GSM Stage - 0"
GLOBAL,EQ,GLOBAL EDUCATION LIMITED,5,"-"
