Symbol,Series,Security Name,Band,Remarks
21STCENMGM,BE,21ST CENTURY MANAGEMENT SERVICES LIMITED,2,"-"
ABAN,BE,ABAN OFFSHORE LIMITED,2,"-"
ALPSINDUS,BE,ALPS INDUSTRIES LIMITED,2,"GSM STAGE - 0"
ARCHIDPLY,BE,ARCHIDPLY INDUSTRIES LIMITED,2,"-"
ASMS,EQ,BARTRONICS INDIA LIMITED,2,"-"
ASTRON,BE,ASTRON PAPER & BOARD MILL LIMITED,2,"-"
ATLANTAA,BE,ATLANTAA LIMITED,2,"-"
BANKA,BE,BANKA BIOLOO LIMITED,2,"-"
BGRENERGY,BE,BGR ENERGY SYSTEMS LIMITED,2,"-"
BLUECHIP,BE,BLUE CHIP INDIA LIMITED,2,"GSM STAGE - 0"
BRNL,BE,BHARAT ROAD NETWORK LIMITED,2,"-"
CMMIPL,ST,CMM INFRAPROJECTS LIMITED,2,"-"
CROWN,BE,CROWN LIFTERS LIMITED,2,"-"
CUBEXTUB,BE,CUBEX TUBINGS LIMITED,2,"-"
DHRUV,BE,DHRUV CONSULTANCY SERVICES LIMITED,2,"-"
DUCON,BE,DUCON INFRATECHNOLOGIES LIMITED,2,"-"
ELECTHERM,BE,ELECTROTHERM (INDIA) LIMITED,2,"-"
ELGIRUBCO,BE,ELGI RUBBER COMPANY LIMITED,2,"-"
EXCEL,BE,EXCEL REALTY N INFRA LIMITED,2,"-"
FEL,BZ,FUTURE ENTERPRISES LIMITED,2,"GSM STAGE - 0"
GATECH,BE,GACM TECHNOLOGIES LIMITED,2,"GSM STAGE - 0"
GLFL,BE,GUJARAT LEASE FINANCING LIMITED,2,"GSM STAGE - 0"
GLOBALVECT,BE,GLOBAL VECTRA HELICORP LIMITED,2,"-"
GOKUL,BE,GOKUL REFOILS AND SOLVENT LIMITED,2,"-"
GOYALALUM,BE,GOYAL ALUMINIUMS LIMITED,2,"-"
GTECJAINX,BE,G-TEC JAINX EDUCATION LIMITED,2,"GSM STAGE - 0"
GTL,BE,GTL LIMITED,2,"-"
ICDSLTD,BE,ICDS LIMITED,2,"-"
IRIS,BE,IRIS BUSINESS SERVICES LIMITED,2,"-"
JAIPURKURT,BE,NANDANI CREATION LIMITED,2,"-"
JHS,BE,JHS SVENDGAARD LABORATORIES LIMITED,2,"-"
