Symbol,Series,Security Name,Band,Remarks
21STCENMGM,BE,21ST CENTURY MANAGEMENT SERVICES LIMITED,2,"-"
ALPSINDUS,BE,ALPS INDUSTRIES LIMITED,2,"GSM STAGE - 0"
ASTRON,BE,ASTRON PAPER & BOARD MILL LIMITED,2,"-"
ATLANTAA,BE,ATLANTAA LIMITED,2,"-"
AVONMORE,BE,AVONMORE CAPITAL & MANAGEMENT SERVICES  LIMITED,2,"-"
BANKA,BE,BANKA BIOLOO LIMITED,2,"-"
BGRENERGY,BE,BGR ENERGY SYSTEMS LIMITED,2,"-"
BLUECHIP,BE,BLUE CHIP INDIA LIMITED,2,"GSM STAGE - 0"
BRNL,BE,BHARAT ROAD NETWORK LIMITED,2,"-"
BTML,BE,BODHI TREE MULTIMEDIA LIMITED,2,"-"
BURNPUR,BE,BURNPUR CEMENT LIMITED,2,"GSM STAGE - 0"
BYKE,BE,THE BYKE HOSPITALITY LTD,2,"-"
CCHHL,BE,COUNTRY CLUB HOSPITALITY & HOLIDAYS LIMITED,2,"-"
CMMIPL,ST,CMM INFRAPROJECTS LIMITED,2,"-"
CREATIVEYE,BE,CREATIVE EYE LIMITED,2,"-"
CROWN,BE,CROWN LIFTERS LIMITED,2,"-"
CUBEXTUB,BE,CUBEX TUBINGS LIMITED,2,"-"
DHRUV,BE,DHRUV CONSULTANCY SERVICES LIMITED,2,"-"
DIACABS,BE,DIAMOND POWER INFRASTRUCTURE LIMITED,2,"-"
DRCSYSTEMS,BE,DRC SYSTEMS INDIA LIMITED,2,"-"
ELECTHERM,BE,ELECTROTHERM (INDIA) LIMITED,2,"-"
ELGIRUBCO,BE,ELGI RUBBER COMPANY LIMITED,2,"-"
FEL,BZ,FUTURE ENTERPRISES LIMITED,2,"-"
FLEXITUFF,BE,FLEXITUFF VENTURES INTERNATIONAL LIMITED,2,"-"
GATECHDVR,BE,GACM TECHNOLOGIES LIMITED,2,"-"
GLFL,BE,GUJARAT LEASE FINANCING LIMITED,2,"GSM STAGE - 0"
GLOBALVECT,BE,GLOBAL VECTRA HELICORP LIMITED,2,"-"
GLOBE,BE,GLOBE TEXTILES (INDIA) LIMITED,2,"-"
GVKPIL,BE,GVK POWER & INFRASTRUCTURE LIMITED,2,"-"
HECPROJECT,BE,HEC INFRA PROJECTS LIMITED,2,"-"
ICDSLTD,BE,ICDS LIMITED,2,"-"
IL&FSENGG,BZ,IL&FS ENGINEERING AND CONSTRUCTION COMPANY LIMITED,2,"-"
IL&FSTRANS,BZ,IL&FS TRANSPORTATION NETWORKS LIMITED,2,"GSM STAGE - 0"
IRIS,BE,IRIS BUSINESS SERVICES LIMITED,2,"-"
JAIPURKURT,BE,NANDANI CREATION LIMITED,2,"-"
KAPSTON,BE,KAPSTON SERVICES LIMITED,2,"-"
KAUSHALYA,BE,KAUSHALYA INFRASTRUCTURE DEVELOPMENT CORPORATION LIMITED,2,"-"
KAVVERITEL,BE,KAVVERI TELECOM PRODUCTS LIMITED,2,"-"
KEEPLEARN,BE,DSJ KEEP LEARNING LIMITED,2,"GSM STAGE - 0"
KRIDHANINF,BE,KRIDHAN INFRA LIMITED,2,"GSM STAGE - 0"
LATTEYS,BE,LATTEYS INDUSTRIES LIMITED,2,"-"
LCCINFOTEC,BE,LCC INFOTECH LIMITED,2,"GSM STAGE - 0"
LPDC,BE,LANDMARK PROPERTY DEVELOPMENT COMPANY LIMITED,2,"-"
MADHUCON,BE,MADHUCON PROJECTS LIMITED,2,"-"
MARSHALL,BE,MARSHALL MACHINES LIMITED,2,"-"
MKPL,BE,M K PROTEINS LIMITED,2,"-"
NARMADA,BE,NARMADA AGROBASE LIMITED,2,"-"
NITIRAJ,BE,NITIRAJ ENGINEERS LIMITED,2,"-"
OILCOUNTUB,BE,OIL COUNTRY TUBULAR LIMITED,2,"-"
OSIAHYPER,BE,OSIA HYPER RETAIL LIMITED,2,"-"
PALREDTEC,BE,PALRED TECHNOLOGIES LIMITED,2,"-"
PANACHE,BE,PANACHE DIGILIFE LIMITED,2,"-"
PARASPETRO,BE,PARAS PETROFILS LIMITED,2,"-"
PIGL,BE,POWER & INSTRUMENTATION (GUJARAT) LIMITED,2,"-"
PRAKASHSTL,BE,PRAKASH STEELAGE LIMITED,2,"-"
PRAXIS,BE,PRAXIS HOME RETAIL LIMITED,2,"GSM STAGE - 0"
RAJRILTD,BE,RAJ RAYON INDUSTRIES LIMITED,2,"-"
REGENCERAM,BE,REGENCY CERAMICS LIMITED,2,"GSM STAGE - 0"
RELIABLE,BE,RELIABLE DATA SERVICES LIMITED,2,"-"
RKEC,BE,RKEC PROJECTS LIMITED,2,"-"
SABEVENTS,BE,SAB EVENTS & GOVERNANCE NOW MEDIA LIMITED,2,"-"
SABTNL,BE,SRI ADHIKARI BROTHERS TELEVISION NETWORK LIMITED,2,"-"
SALSTEEL,BE,S.A.L. STEEL LIMITED,2,"-"
SANWARIA,BZ,SANWARIA CONSUMER LIMITED,2,"-"
SETCO,BE,SETCO AUTOMOTIVE LIMITED,2,"-"
SHRADHA,BE,SHRADHA INFRAPROJECTS LIMITED,2,"-"
SHREERAMA,BE,SHREE RAMA MULTI-TECH LIMITED,2,"-"
SHYAMTEL,BE,SHYAM TELECOM LIMITED,2,"GSM Stage - 0"
SITINET,BE,SITI NETWORKS LIMITED,2,"-"
SMARTLINK,BE,SMARTLINK HOLDINGS LIMITED,2,"-"
SOMICONVEY,BE,SOMI CONVEYOR BELTINGS LIMITED,2,"-"
SPYL,BE,SHEKHAWATI POLY-YARN LIMITED,2,"-"
SRPL,BE,SHREE RAM PROTEINS LIMITED,2,"-"
S&SPOWER,BE,S&S POWER SWITCHGEARS LIMITED,2,"GSM STAGE - 0"
SUMEETINDS,BE,SUMEET INDUSTRIES LIMITED,2,"-"
SUMIT,BE,SUMIT WOODS LIMITED,2,"-"
SUPREMEENG,BE,SUPREME ENGINEERING LIMITED,2,"GSM STAGE - 0"
SUPREMEINF,BZ,SUPREME INFRASTRUCTURE INDIA LIMITED,2,"-"
TAINWALCHM,BE,TAINWALA CHEMICAL AND PLASTIC (I) LIMITED,2,"-"
TCIFINANCE,BE,TCI FINANCE LIMITED,2,"GSM Stage - 0"
TECHIN,BE,TECHINDIA NIRMAN LIMITED,2,"-"
TFL,BE,TRANSWARRANTY FINANCE LIMITED,2,"-"
