Symbol,Series,Security Name,Band,Remarks
21STCENMGM,BE,21ST CENTURY MANAGEMENT SERVICES LIMITED,2,"-"
AARTECH,BE,AARTECH SOLONICS LIMITED,2,"-"
ALPSINDUS,BE,ALPS INDUSTRIES LIMITED,2,"GSM STAGE - 0"
ASMS,EQ,BARTRONICS INDIA LIMITED,2,"-"
BKMINDST,BZ,BKM INDUSTRIES LIMITED,2,"GSM STAGE - 0"
BLUECHIP,BE,BLUE CHIP INDIA LIMITED,2,"GSM STAGE - 0"
CMMIPL,ST,CMM INFRAPROJECTS LIMITED,2,"-"
CROWN,BE,CROWN LIFTERS LIMITED,2,"-"
CTE,BE,CAMBRIDGE TECHNOLOGY ENTERPRISES LIMITED,2,"-"
CUBEXTUB,BE,CUBEX TUBINGS LIMITED,2,"-"
DHRUV,BE,DHRUV CONSULTANCY SERVICES LIMITED,2,"-"
DIACABS,BE,DIAMOND POWER INFRASTRUCTURE LIMITED,2,"-"
ELECTHERM,BE,ELECTROTHERM (INDIA) LIMITED,2,"-"
ESSENTIA,BE,INTEGRA ESSENTIA LIMITED,2,"-"
FEL,BZ,FUTURE ENTERPRISES LIMITED,2,"GSM STAGE - 0"
GLOBALVECT,BE,GLOBAL VECTRA HELICORP LIMITED,2,"-"
HINDCON,BE,HINDCON CHEMICALS LIMITED,2,"-"
INDSWFTLTD,BE,IND-SWIFT LIMITED,2,"-"
JAIPURKURT,BE,NANDANI CREATION LIMITED,2,"-"
KARMAENG,BE,KARMA ENERGY LIMITED,2,"-"
KRIDHANINF,BE,KRIDHAN INFRA LIMITED,2,"GSM STAGE - 0"
KRITIKA,BE,KRITIKA WIRES LIMITED,2,"-"
LAGNAM,BE,LAGNAM SPINTEX LIMITED,2,"-"
MODTHREAD,BE,MODERN THREADS (INDIA) LIMITED,2,"-"
NILASPACES,BE,NILA SPACES LIMITED,2,"-"
NITCO,BE,NITCO LIMITED,2,"-"
OMAXAUTO,BE,OMAX AUTOS LIMITED,2,"-"
PARASPETRO,BE,PARAS PETROFILS LIMITED,2,"-"
PIGL,BE,POWER & INSTRUMENTATION (GUJARAT) LIMITED,2,"-"
PRAENG,BE,PRAJAY ENGINEERS SYNDICATE LIMITED,2,"-"
RAJRILTD,BE,RAJ RAYON INDUSTRIES LIMITED,2,"-"
RAJTV,BE,RAJ TELEVISION NETWORK LIMITED,2,"-"
REGENCERAM,BE,REGENCY CERAMICS LIMITED,2,"GSM STAGE - 0"
RHFL,BE,RELIANCE HOME FINANCE LIMITED,2,"-"
RHL,BE,ROBUST HOTELS LIMITED,2,"-"
ROLLT,BE,ROLLATAINERS LIMITED,2,"-"
RPPINFRA,BE,R.P.P. INFRA PROJECTS LIMITED,2,"-"
SABEVENTS,BE,SAB EVENTS & GOVERNANCE NOW MEDIA LIMITED,2,"-"
SABTNL,BE,SRI ADHIKARI BROTHERS TELEVISION NETWORK LIMITED,2,"-"
SALSTEEL,BE,S.A.L. STEEL LIMITED,2,"-"
SANWARIA,BZ,SANWARIA CONSUMER LIMITED,2,"-"
SETCO,BE,SETCO AUTOMOTIVE LIMITED,2,"-"
SHYAMTEL,BE,SHYAM TELECOM LIMITED,2,"GSM Stage - 0"
SITINET,BE,SITI NETWORKS LIMITED,2,"-"
SPYL,BE,SHEKHAWATI POLY-YARN LIMITED,2,"-"
S&SPOWER,BE,S&S POWER SWITCHGEARS LIMITED,2,"-"
STARTECK,BE,STARTECK FINANCE LIMITED,2,"-"
TARAPUR,BE,TARAPUR TRANSFORMERS LIMITED,2,"GSM STAGE - 0"
TECHIN,BE,TECHINDIA NIRMAN LIMITED,2,"-"
TFL,BE,TRANSWARRANTY FINANCE LIMITED,2,"-"
THOMASCOTT,BE,THOMAS SCOTT (INDIA) LIMITED,2,"-"
TIJARIA,BE,TIJARIA POLYPIPES LIMITED,2,"GSM STAGE - 0"
TNTELE,BE,TAMILNADU TELECOMMUNICATION LIMITED,2,"-"
TPHQ,BE,TEAMO PRODUCTIONS HQ LIMITED,2,"-"
TRF,BE,TRF LIMITED,2,"-"
UMAEXPORTS,BE,UMA EXPORTS LIMITED,2,"-"
VIJIFIN,BE,VIJI FINANCE LIMITED,2,"GSM STAGE - 0"
VIPULLTD,BE,VIPUL LIMITED,2,"-"
WINSOME,BE,WINSOME YARNS LIMITED,2,"-"
ZODIAC,BE,ZODIAC ENERGY LIMITED,2,"-"
3PLAND,EQ,3P LAND HOLDINGS LIMITED,5,"-"
63MOONS,EQ,63 MOONS TECHNOLOGIES LIMITED,5,"-"
A2ZINFRA,BE,A2Z INFRA ENGINEERING LIMITED,5,"-"
AAATECH,BE,AAA TECHNOLOGIES LIMITED,5,"-"
